time,min,max
1699401600000,2.0,9.6
1699488000000,5.1,9.2
1699574400000,2.5,6.7
1699660800000,1.4,5.9
1699747200000,0.5,6.2
1699833600000,2.8,7.6
1699920000000,0.7,6.3
1700006400000,0.5,3.3
1700092800000,0.6,4.4
1700179200000,-1.1,3.8
1700265600000,-1.1,8.5
1700352000000,3.6,7.4
1700438400000,2.0,6.1
1700524800000,0.5,4.8
1700611200000,3.9,9.9
1700697600000,0.8,8.3
1700784000000,0.6,4.6
1700870400000,1.4,4.9
1700956800000,1.4,4.7
1701043200000,-1.5,3.6
1701129600000,-4.9,-1.2
1701216000000,-2.8,1.7
1701302400000,-4.1,0.8
1701388800000,-4.7,-0.7
1701475200000,-2.9,0.0
1701561600000,-2.6,1.1
1701648000000,-4.3,0.8
1701734400000,-4.3,1.2
1701820800000,0.1,2.2
1701907200000,-3.9,2.1
1701993600000,-4.1,3.3
1702080000000,1.7,5.9
1702166400000,2.5,6.1
1702252800000,-1.0,4.3
1702339200000,-1.2,3.6
1702425600000,0.2,1.9
1702512000000,-0.6,4.7
1702598400000,4.8,8.3
1702684800000,4.8,10.9
1702771200000,5.1,9.6
1702857600000,6.0,8.3
1702944000000,2.4,6.9
1703030400000,0.3,4.1
1703116800000,0.1,5.0
1703203200000,-2.4,2.5
1703289600000,-5.1,-0.8
1703376000000,-4.1,6.4
1703462400000,0.8,5.3
1703548800000,1.0,3.4
1703635200000,-2.9,2.8
1703721600000,-0.5,5.6
1703808000000,3.3,4.7
1703894400000,-1.3,3.6
1703980800000,0.0,8.0
1704067200000,2.5,5.3
